"ITTER107","Territory","TIPO_DATO14","Data type","TIPO_ATTIVITASAN","Type of clinical specialty","TIME","Select time","Value","Flag Codes","Flags"
"ITC1","Piemonte","111","inpatient hospital beds per 1,000 inhabitants","99","total","2017","2017",3.34,,
"ITC1","Piemonte","111","inpatient hospital beds per 1,000 inhabitants","12","acute care","2017","2017",2.4,,
"ITC1","Piemonte","111","inpatient hospital beds per 1,000 inhabitants","13","long term care","2017","2017",0.23,,
"ITC1","Piemonte","111","inpatient hospital beds per 1,000 inhabitants","14","rehabilitation","2017","2017",0.72,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","111","inpatient hospital beds per 1,000 inhabitants","99","total","2017","2017",3.56,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","111","inpatient hospital beds per 1,000 inhabitants","12","acute care","2017","2017",2.84,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","111","inpatient hospital beds per 1,000 inhabitants","13","long term care","2017","2017",0.13,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","111","inpatient hospital beds per 1,000 inhabitants","14","rehabilitation","2017","2017",0.59,,
"ITC3","Liguria","111","inpatient hospital beds per 1,000 inhabitants","99","total","2017","2017",3.2,,
"ITC3","Liguria","111","inpatient hospital beds per 1,000 inhabitants","12","acute care","2017","2017",2.63,,
"ITC3","Liguria","111","inpatient hospital beds per 1,000 inhabitants","13","long term care","2017","2017",0.14,,
"ITC3","Liguria","111","inpatient hospital beds per 1,000 inhabitants","14","rehabilitation","2017","2017",0.43,,
"ITC4","Lombardia","111","inpatient hospital beds per 1,000 inhabitants","99","total","2017","2017",3.48,,
"ITC4","Lombardia","111","inpatient hospital beds per 1,000 inhabitants","12","acute care","2017","2017",2.77,,
"ITC4","Lombardia","111","inpatient hospital beds per 1,000 inhabitants","13","long term care","2017","2017",0.07,,
"ITC4","Lombardia","111","inpatient hospital beds per 1,000 inhabitants","14","rehabilitation","2017","2017",0.64,,
"ITD1","Provincia Autonoma Bolzano / Bozen","111","inpatient hospital beds per 1,000 inhabitants","99","total","2017","2017",3.5,,
"ITD1","Provincia Autonoma Bolzano / Bozen","111","inpatient hospital beds per 1,000 inhabitants","12","acute care","2017","2017",2.78,,
"ITD1","Provincia Autonoma Bolzano / Bozen","111","inpatient hospital beds per 1,000 inhabitants","13","long term care","2017","2017",0.32,,
"ITD1","Provincia Autonoma Bolzano / Bozen","111","inpatient hospital beds per 1,000 inhabitants","14","rehabilitation","2017","2017",0.4,,
"ITD2","Provincia Autonoma Trento","111","inpatient hospital beds per 1,000 inhabitants","99","total","2017","2017",3.52,,
"ITD2","Provincia Autonoma Trento","111","inpatient hospital beds per 1,000 inhabitants","12","acute care","2017","2017",2.53,,
"ITD2","Provincia Autonoma Trento","111","inpatient hospital beds per 1,000 inhabitants","13","long term care","2017","2017",0.36,,
"ITD2","Provincia Autonoma Trento","111","inpatient hospital beds per 1,000 inhabitants","14","rehabilitation","2017","2017",0.63,,
"ITD3","Veneto","111","inpatient hospital beds per 1,000 inhabitants","99","total","2017","2017",3.24,,
"ITD3","Veneto","111","inpatient hospital beds per 1,000 inhabitants","12","acute care","2017","2017",2.72,,
"ITD3","Veneto","111","inpatient hospital beds per 1,000 inhabitants","13","long term care","2017","2017",0.15,,
"ITD3","Veneto","111","inpatient hospital beds per 1,000 inhabitants","14","rehabilitation","2017","2017",0.37,,
"ITD4","Friuli-Venezia Giulia","111","inpatient hospital beds per 1,000 inhabitants","99","total","2017","2017",3.15,,
"ITD4","Friuli-Venezia Giulia","111","inpatient hospital beds per 1,000 inhabitants","12","acute care","2017","2017",2.86,,
"ITD4","Friuli-Venezia Giulia","111","inpatient hospital beds per 1,000 inhabitants","13","long term care","2017","2017",0.06,,
"ITD4","Friuli-Venezia Giulia","111","inpatient hospital beds per 1,000 inhabitants","14","rehabilitation","2017","2017",0.23,,
"ITD5","Emilia-Romagna","111","inpatient hospital beds per 1,000 inhabitants","99","total","2017","2017",3.7,,
"ITD5","Emilia-Romagna","111","inpatient hospital beds per 1,000 inhabitants","12","acute care","2017","2017",2.96,,
"ITD5","Emilia-Romagna","111","inpatient hospital beds per 1,000 inhabitants","13","long term care","2017","2017",0.42,,
"ITD5","Emilia-Romagna","111","inpatient hospital beds per 1,000 inhabitants","14","rehabilitation","2017","2017",0.32,,
"ITE1","Toscana","111","inpatient hospital beds per 1,000 inhabitants","99","total","2017","2017",2.76,,
"ITE1","Toscana","111","inpatient hospital beds per 1,000 inhabitants","12","acute care","2017","2017",2.48,,
"ITE1","Toscana","111","inpatient hospital beds per 1,000 inhabitants","13","long term care","2017","2017",0.06,,
"ITE1","Toscana","111","inpatient hospital beds per 1,000 inhabitants","14","rehabilitation","2017","2017",0.23,,
"ITE2","Umbria","111","inpatient hospital beds per 1,000 inhabitants","99","total","2017","2017",3.25,,
"ITE2","Umbria","111","inpatient hospital beds per 1,000 inhabitants","12","acute care","2017","2017",2.76,,
"ITE2","Umbria","111","inpatient hospital beds per 1,000 inhabitants","13","long term care","2017","2017",0.11,,
"ITE2","Umbria","111","inpatient hospital beds per 1,000 inhabitants","14","rehabilitation","2017","2017",0.39,,
"ITE3","Marche","111","inpatient hospital beds per 1,000 inhabitants","99","total","2017","2017",3.01,,
"ITE3","Marche","111","inpatient hospital beds per 1,000 inhabitants","12","acute care","2017","2017",2.52,,
"ITE3","Marche","111","inpatient hospital beds per 1,000 inhabitants","13","long term care","2017","2017",0.2,,
"ITE3","Marche","111","inpatient hospital beds per 1,000 inhabitants","14","rehabilitation","2017","2017",0.29,,
"ITE4","Lazio","111","inpatient hospital beds per 1,000 inhabitants","99","total","2017","2017",3.13,,
"ITE4","Lazio","111","inpatient hospital beds per 1,000 inhabitants","12","acute care","2017","2017",2.52,,
"ITE4","Lazio","111","inpatient hospital beds per 1,000 inhabitants","13","long term care","2017","2017",0.13,,
"ITE4","Lazio","111","inpatient hospital beds per 1,000 inhabitants","14","rehabilitation","2017","2017",0.48,,
"ITF1","Abruzzo","111","inpatient hospital beds per 1,000 inhabitants","99","total","2017","2017",2.97,,
"ITF1","Abruzzo","111","inpatient hospital beds per 1,000 inhabitants","12","acute care","2017","2017",2.45,,
"ITF1","Abruzzo","111","inpatient hospital beds per 1,000 inhabitants","13","long term care","2017","2017",0.15,,
"ITF1","Abruzzo","111","inpatient hospital beds per 1,000 inhabitants","14","rehabilitation","2017","2017",0.37,,
"ITF2","Molise","111","inpatient hospital beds per 1,000 inhabitants","99","total","2017","2017",3.41,,
"ITF2","Molise","111","inpatient hospital beds per 1,000 inhabitants","12","acute care","2017","2017",2.8,,
"ITF2","Molise","111","inpatient hospital beds per 1,000 inhabitants","13","long term care","2017","2017",0.14,,
"ITF2","Molise","111","inpatient hospital beds per 1,000 inhabitants","14","rehabilitation","2017","2017",0.47,,
"ITF3","Campania","111","inpatient hospital beds per 1,000 inhabitants","99","total","2017","2017",2.64,,
"ITF3","Campania","111","inpatient hospital beds per 1,000 inhabitants","12","acute care","2017","2017",2.32,,
"ITF3","Campania","111","inpatient hospital beds per 1,000 inhabitants","13","long term care","2017","2017",0.1,,
"ITF3","Campania","111","inpatient hospital beds per 1,000 inhabitants","14","rehabilitation","2017","2017",0.22,,
"ITF4","Puglia","111","inpatient hospital beds per 1,000 inhabitants","99","total","2017","2017",2.87,,
"ITF4","Puglia","111","inpatient hospital beds per 1,000 inhabitants","12","acute care","2017","2017",2.54,,
"ITF4","Puglia","111","inpatient hospital beds per 1,000 inhabitants","13","long term care","2017","2017",0.04,,
"ITF4","Puglia","111","inpatient hospital beds per 1,000 inhabitants","14","rehabilitation","2017","2017",0.29,,
"ITF5","Basilicata","111","inpatient hospital beds per 1,000 inhabitants","99","total","2017","2017",2.96,,
"ITF5","Basilicata","111","inpatient hospital beds per 1,000 inhabitants","12","acute care","2017","2017",2.41,,
"ITF5","Basilicata","111","inpatient hospital beds per 1,000 inhabitants","13","long term care","2017","2017",0.27,,
"ITF5","Basilicata","111","inpatient hospital beds per 1,000 inhabitants","14","rehabilitation","2017","2017",0.29,,
"ITF6","Calabria","111","inpatient hospital beds per 1,000 inhabitants","99","total","2017","2017",2.49,,
"ITF6","Calabria","111","inpatient hospital beds per 1,000 inhabitants","12","acute care","2017","2017",2.02,,
"ITF6","Calabria","111","inpatient hospital beds per 1,000 inhabitants","13","long term care","2017","2017",0.11,,
"ITF6","Calabria","111","inpatient hospital beds per 1,000 inhabitants","14","rehabilitation","2017","2017",0.35,,
"ITG1","Sicilia","111","inpatient hospital beds per 1,000 inhabitants","99","total","2017","2017",2.76,,
"ITG1","Sicilia","111","inpatient hospital beds per 1,000 inhabitants","12","acute care","2017","2017",2.39,,
"ITG1","Sicilia","111","inpatient hospital beds per 1,000 inhabitants","13","long term care","2017","2017",0.07,,
"ITG1","Sicilia","111","inpatient hospital beds per 1,000 inhabitants","14","rehabilitation","2017","2017",0.3,,
"ITG2","Sardegna","111","inpatient hospital beds per 1,000 inhabitants","99","total","2017","2017",3.04,,
"ITG2","Sardegna","111","inpatient hospital beds per 1,000 inhabitants","12","acute care","2017","2017",2.83,,
"ITG2","Sardegna","111","inpatient hospital beds per 1,000 inhabitants","13","long term care","2017","2017",0.1,,
"ITG2","Sardegna","111","inpatient hospital beds per 1,000 inhabitants","14","rehabilitation","2017","2017",0.11,,
